재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명		당기			전기	전전기	
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethod	            지분법을 사용하여 회계처리하는 관계기업과 공동기업의 기타포괄손익에 대한 지분, 세후						615,371,889
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)		21,600,800,986			16,472,354,950	8,667,178,478
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	      비지배지분에 귀속되는 당기순이익(손실)		-150,869,104			-52,265,660	-226,355,584
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossFromContinuingOperationsAttributableToNoncontrollingInterests	         비지배지분에 귀속될 계속영업당기순손실		-150,869,104			-52,265,660	-226,355,584
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	      지배기업의 소유주에게 귀속되는 당기순이익(손실)		21,751,670,090			16,524,620,610	8,893,534,062
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_IncomeFromContinuingOperationsAttributableToOwnersOfParent	         지배기업의 소유주에게 귀속될 계속영업당기순이익		19,846,566,740			16,305,546,184	-12,274,115,648
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_IncomeFromDiscontinuedOperationsAttributableToOwnersOfParent	         지배기업의 소유주에게 귀속될 중단영업당기순이익		1,905,103,350			219,074,426	21,167,649,710
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)		27,869,842,632			28,966,441,393	26,715,410,061
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossFromContinuingOperations	      계속영업이익(손실)		19,695,697,636			16,253,280,524	20,941,294,126
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossFromDiscontinuedOperations	      중단영업이익(손실)		1,905,103,350			219,074,426	-12,274,115,648
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_Revenue	      영업수익		1,014,156,314,426			936,525,061,005	1,128,456,050,159
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)		130,320,128,409			279,123,890,558	-21,822,473,627
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_OtherGains	      기타수익		69,908,073,428			85,579,407,329	73,174,416,182
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_OtherLosses	      기타비용		132,533,857,662			87,903,192,820	130,992,373,943
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비와관리비		836,080,523,844			819,528,005,283	732,503,558,503
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ComprehensiveIncome	      총포괄손익		-19,619,758,101			97,486,405,789	-98,168,108,630
